<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: r38_metrics.csv>
index,condition,method,answer_mean,answer_std,path_survival,final_true_path,selected_true_path,candidate_evals,gate_rate
0,id8,greedy,0.9166666666666666,0.2763853991962833,0.96875,0.9166666666666666,0.9166666666666666,0.0,0.0
1,id8,r35_fixed32,1.0,0.0,1.0,1.0,1.0,1608.0,0.0
2,id8,r38_gated_residual,1.0,0.0,1.0,1.0,1.0,1608.0,0.9952321724709784
3,id8,ablation_ungated_residual,1.0,0.0,1.0,1.0,1.0,1608.0,1.0
4,ood32,greedy,0.6666666666666666,0.4714045207910317,0.8515625,0.6666666666666666,0.6666666666666666,0.0,0.0
5,ood32,r35_fixed32,0.9166666666666666,0.2763853991962833,1.0,1.0,0.9166666666666666,7752.0,0.0
6,ood32,r38_gated_residual,0.9166666666666666,0.2763853991962833,1.0,1.0,0.9166666666666666,7752.0,0.9570863433092536
7,ood32,ablation_ungated_residual,0.9166666666666666,0.2763853991962833,1.0,1.0,0.9166666666666666,7752.0,1.0
8,ood64,greedy,0.1666666666666666,0.3726779962499649,0.6536458333333334,0.0833333333333333,0.0833333333333333,0.0,0.0
9,ood64,r35_fixed32,0.75,0.4330127018922193,0.8645833333333334,0.8333333333333334,0.75,15944.0,0.0
10,ood64,r38_gated_residual,0.8333333333333334,0.3726779962499649,0.9283854166666666,0.9166666666666666,0.8333333333333334,15944.0,0.9465368372637564
11,ood64,ablation_ungated_residual,0.8333333333333334,0.3726779962499649,0.9283854166666666,0.9166666666666666,0.8333333333333334,15944.0,1.0
12,ood128,greedy,0.0,0.0,0.3203125,0.0,0.0,0.0,0.0
13,ood128,r35_fixed32,0.75,0.4330127018922193,0.677734375,0.5833333333333334,0.5833333333333334,32328.0,0.0
14,ood128,r38_gated_residual,0.5833333333333334,0.4930066485916347,0.6536458333333334,0.5,0.5,32328.0,0.9458518930957686
15,ood128,ablation_ungated_residual,0.5833333333333334,0.4930066485916347,0.6536458333333334,0.5,0.5,32328.0,1.0
